fold,k,ratio,gen_seed,variable,type,real_pearson_with_target,syn_pearson_with_target,pearson_abs_diff,real_spearman_with_target,syn_spearman_with_target,spearman_abs_diff,sign_preserved,real_eta_squared_on_target,syn_eta_squared_on_target,eta_squared_abs_diff
4,2,3.0,1,interlayer_A,continuous,-0.0529377842125629,-0.08629708652538153,0.033359302312818626,-0.2840759557467533,-0.3550069864927807,0.07093103074602736,True,,,
4,2,3.0,1,h2so4_M,categorical,,,,,,,,0.12715505640520766,0.12648298541238692,0.0006720709928207391
4,2,3.0,1,composition_family,categorical,,,,,,,,0.8848008323236328,0.7521807783688461,0.1326200539547867
4,2,3.0,1,scan_rate_mV_s,categorical,,,,,,,,0.053195817503489305,0.027370870119706348,0.025824947383782958
4,2,3.0,1,layer_class,categorical,,,,,,,,0.014845274520814532,0.016729206951659654,0.0018839324308451214
4,2,3.0,2,interlayer_A,continuous,-0.0529377842125629,-0.012048205691023436,0.04088957852153946,-0.2840759557467533,-0.04940766691642535,0.23466828883032798,True,,,
4,2,3.0,2,h2so4_M,categorical,,,,,,,,0.12715505640520766,0.12152320682077528,0.005631849584432386
4,2,3.0,2,composition_family,categorical,,,,,,,,0.8848008323236328,0.8627789900171813,0.022021842306451545
4,2,3.0,2,scan_rate_mV_s,categorical,,,,,,,,0.053195817503489305,0.05470122106074795,0.0015054035572586444
4,2,3.0,2,layer_class,categorical,,,,,,,,0.014845274520814532,0.0019061930141609862,0.012939081506653547
4,2,5.25,0,interlayer_A,continuous,-0.0529377842125629,-0.0584837724162962,0.005545988203733303,-0.2840759557467533,-0.13735243381084528,0.14672352193590804,True,,,
4,2,5.25,0,h2so4_M,categorical,,,,,,,,0.12715505640520766,0.1601096110576176,0.03295455465240993
4,2,5.25,0,composition_family,categorical,,,,,,,,0.8848008323236328,0.8959035213801871,0.011102689056554316
4,2,5.25,0,scan_rate_mV_s,categorical,,,,,,,,0.053195817503489305,0.0579419654404076,0.004746147936918292
4,2,5.25,0,layer_class,categorical,,,,,,,,0.014845274520814532,0.012352893812447217,0.002492380708367315
4,2,5.25,1,interlayer_A,continuous,-0.0529377842125629,-0.024791537526664097,0.028146246685898803,-0.2840759557467533,-0.15998649966249157,0.12408945608426175,True,,,
4,2,5.25,1,h2so4_M,categorical,,,,,,,,0.12715505640520766,0.11255230417116448,0.014602752234043184
4,2,5.25,1,composition_family,categorical,,,,,,,,0.8848008323236328,0.8086629022187121,0.07613793010492076
4,2,5.25,1,scan_rate_mV_s,categorical,,,,,,,,0.053195817503489305,0.03964276453486197,0.013553052968627334
4,2,5.25,1,layer_class,categorical,,,,,,,,0.014845274520814532,0.009222058656185195,0.005623215864629338
4,2,5.25,2,interlayer_A,continuous,-0.0529377842125629,-0.0298307623566742,0.0231070218558887,-0.2840759557467533,-0.17735993399835,0.1067160217484033,True,,,
4,2,5.25,2,h2so4_M,categorical,,,,,,,,0.12715505640520766,0.14160571474867656,0.014450658343468897
4,2,5.25,2,composition_family,categorical,,,,,,,,0.8848008323236328,0.8873337564117143,0.0025329240880814785
4,2,5.25,2,scan_rate_mV_s,categorical,,,,,,,,0.053195817503489305,0.08291452176919005,0.029718704265700745
4,2,5.25,2,layer_class,categorical,,,,,,,,0.014845274520814532,0.030284849320155863,0.01543957479934133
